ID,name,duration,price,published
1605ab6f-7908-4f4d-913f-5733ba4c0829,Introduction to Programming,40,199.99,True
bac9e11c-cae5-4511-9d61-ec9e35c40280,Data Structures & Algorithms,60,249.99,True
7c788337-bf13-440c-82fb-8e3c88e05040,Database Management Systems,50,149.99,True
ec7dc0c3-e729-4d52-8076-612dd8067730,Web Development Bootcamp,80,299.99,True
46202083-1d4a-4e5e-a351-d4c1a56ea42e,Machine Learning Basics,70,399.99,True
6e807d2c-b2fa-4343-884e-c2c76c82670d,Cloud Computing with AWS,65,349.99,True
2abdd7c2-226e-40f4-8313-30307efe1010,Cybersecurity Fundamentals,55,199.99,True
74abdb5a-8f0f-4a7b-8535-6a90c83d2900,Android App Development,60,299.99,False
a12415ff-6233-40b1-a8e6-1ac9f7d2c70f,ReactJS & Frontend Engineering,75,279.99,True
f256ef59-55c7-4cf5-9edb-545a5236600b,Blockchain Essentials,50,329.99,False
91bd131e-8506-4c45-a293-e6fe5981c06b,DevOps with Docker & Kubernetes,80,379.99,True
fc98c9ef-718e-459f-a198-d3337224b0c2,Python for Data Science,60,249.99,True
d57424a6-fed2-486d-a658-ef18c84555cb,Artificial Intelligence Foundations,70,399.99,True
865a8ac1-f82e-4e24-99ba-46852097ee55,Big Data Analytics,65,359.99,True
3f18fbdf-3590-4f27-a4db-5de287b795d0,UI/UX Design Principles,50,189.99,True